End time,Annotation  ,Layer
0:02 - 0:05,"In this late summer of 2022, I was diagnosed wth multiple
 myeloma",Journey 
0:06 - 0:09,"Patient narrates in shaky voice. Swallows hard. 
 ",Emotions
0:09 - 0:12,Patient shown sitting outside ,Comment
0:12 - 0:16,Patient wearing a nose mask on a sick bed,Comment 
0:22 - 0:25,It's almost a couple of years now and things are going well. ,Optimism
0:29 - 0:31,My family has been very supportive.,Family
1:32 - 1:35,We drove over to the emergency room,Healthcare 
,,
,,
,,
,,
